year,oa_color_finale,montant_moyen
2013,gold,1387.11690928559
2013,hybridOA,2387.68335860511
2014,gold,1413.0689030996
2014,hybridOA,2335.1100517889
2015,gold,1558.95174294198
2015,hybridOA,2413.48355097287
2016,gold,1636.09023881922
2016,hybridOA,2406.99691909277
2017,gold,1651.29956379868
2017,hybridOA,2532.34350999187
2018,gold,1664.16575845204
2018,hybridOA,2391.53207855776
2019,gold,1703.72570204142
2019,hybridOA,2284.29829150165
2020,gold,1744.82134970476
2020,hybridOA,2326.45931972975
