year,oa_color_finale,montant_moyen
2013,gold,1421.24449733879
2013,hybridOA,2274.37721660325
2014,gold,1472.46410450881
2014,hybridOA,2273.72637139974
2015,gold,1655.4650028897
2015,hybridOA,2403.75994844915
2016,gold,1742.63295167893
2016,hybridOA,2457.50999633178
2017,gold,1763.48887484948
2017,hybridOA,2458.87710239339
2018,gold,1745.07228792734
2018,hybridOA,2439.85537403415
2019,gold,1742.77603884951
2019,hybridOA,2229.81719223947
2020,gold,1761.81109597849
2020,hybridOA,2228.9722895459
