year,mean_APC_gold,mean_APC_min_gold,mean_APC_max_gold,nb_articles_gold,nb_articles_min_gold,nb_articles_max_gold,montant_apc_gold,montant_apc_min_gold,montant_apc_max_gold,mean_APC_hybridOA,mean_APC_min_hybridOA,mean_APC_max_hybridOA,nb_articles_hybridOA,nb_articles_min_hybridOA,nb_articles_max_hybridOA,montant_apc_hybridOA,montant_apc_min_hybridOA,montant_apc_max_hybridOA,mean_APC_total,mean_APC_total_min,mean_APC_total_max,nb_articles_total,nb_articles_total_min,nb_articles_total_max,montant_apc_total,montant_apc_total_min,montant_apc_total_max,mean_APC_total_final,mean_APC_total_min_final,mean_APC_total_max_final,nb_articles_total_final,nb_articles_total_min_final,nb_articles_total_max_final,montant_apc_total_final,montant_apc_total_min_final,montant_apc_total_max_final
2013,1387.11690928559,1387.11690928559,1387.11690928559,4272,4272,4272,5925763.43646804,5925763.43646804,5925763.43646804,2387.68335860511,2387.68335860511,2387.68335860511,557,557,557,1329939.63074305,1329939.63074305,1329939.63074305,1887.40013394535,1887.40013394535,1887.40013394535,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109,1693.9308493871,1693.9308493871,1693.9308493871,4829,4829,4829,7255703.06721109,7255703.06721109,7255703.06721109
2014,1413.0689030996,1413.0689030996,1413.0689030996,4747,4747,4747,6707838.08301378,6707838.08301378,6707838.08301378,2335.1100517889,2335.1100517889,2335.1100517889,855,855,855,1996519.09427951,1996519.09427951,1996519.09427951,1874.08947744425,1874.08947744425,1874.08947744425,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329,1688.63247440536,1688.63247440536,1688.63247440536,5602,5602,5602,8704357.17729329,8704357.17729329,8704357.17729329
2015,1558.95174294198,1558.95174294198,1558.95174294198,5526,5526,5526,8614767.33149739,8614767.33149739,8614767.33149739,2413.48355097287,2413.48355097287,2413.48355097287,862,862,862,2080422.82093862,2080422.82093862,2080422.82093862,1986.21764695743,1986.21764695743,1986.21764695743,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436,1785.98561114816,1785.98561114816,1785.98561114816,6388,6388,6388,10695190.152436,10695190.152436,10695190.152436
2016,1636.09023881922,1636.09023881922,1636.09023881922,6287,6287,6287,10286099.3314564,10286099.3314564,10286099.3314564,2406.99691909277,2406.99691909277,2406.99691909277,1016,1016,1016,2445508.86979826,2445508.86979826,2445508.86979826,2021.54357895599,2021.54357895599,2021.54357895599,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547,1813.06436593908,1813.06436593908,1813.06436593908,7303,7303,7303,12731608.2012547,12731608.2012547,12731608.2012547
2017,1651.29956379868,1651.29956379868,1651.29956379868,7074,7074,7074,11681293.1143119,11681293.1143119,11681293.1143119,2532.34350999187,2532.34350999187,2532.34350999187,1101,1101,1101,2788110.20450105,2788110.20450105,2788110.20450105,2091.82153689528,2091.82153689528,2091.82153689528,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129,1850.53300472637,1850.53300472637,1850.53300472637,8175,8175,8175,14469403.3188129,14469403.3188129,14469403.3188129
2018,1664.16575845204,1664.16575845204,1664.16575845204,7749,7749,7749,12895620.4622449,12895620.4622449,12895620.4622449,2391.53207855776,2391.53207855776,2391.53207855776,1361,1361,1361,3254875.15891711,3254875.15891711,3254875.15891711,2027.8489185049,2027.8489185049,2027.8489185049,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162,1911.45276863746,1911.45276863746,1911.45276863746,9110,9110,9110,16150495.621162,16150495.621162,16150495.621162
2019,1703.72570204142,1703.72570204142,1703.72570204142,9052,9052,9052,15422125.0548789,15422125.0548789,15422125.0548789,2284.29829150165,2284.29829150165,2284.29829150165,1570,1570,1570,3586348.31765758,3586348.31765758,3586348.31765758,1994.01199677153,1994.01199677153,1994.01199677153,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365,1890.18235698396,1890.18235698396,1890.18235698396,10622,10622,10622,19008473.3725365,19008473.3725365,19008473.3725365
2020,1744.82134970476,1744.82134970476,1744.82134970476,11742,11742,11742,20487692.2882333,20487692.2882333,20487692.2882333,2326.45931972975,2326.45931972975,2326.45931972975,2014,2014,2014,4685489.06993572,4685489.06993572,4685489.06993572,2035.64033471725,2035.64033471725,2035.64033471725,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169,1901.68127428403,1901.68127428403,1901.68127428403,13756,13756,13756,25173181.358169,25173181.358169,25173181.358169
2021,1792.40652062034,1791.91384116137,1792.8992000793,12709,12664,12754,22779694.4705639,22692796.8844676,22866636.3978114,2313.88567804301,2312.66396530455,2315.10739078146,2197,2153,2242,5083606.83466049,4979165.5173007,5190470.77013204,2053.14609933167,2052.28890323296,2054.00329543038,14906,14817,14996,27863301.3052244,27671962.4017683,28057107.1679434,1928.4850486934,1922.37539158815,1934.59470579865,14907,14517,15296,27609229.7212221,26778454.0660709,28443229.233716
2022,1839.99169153592,1839.00633261799,1840.97705045385,13676,13586,13765,25163726.3734452,24984740.034948,25341049.0994972,2301.31203635627,2298.86861087935,2303.75546183318,2381,2291,2471,5479423.95856427,5266707.9875246,5692579.74618978,2070.65186394609,2068.93747174867,2072.36625614351,16057,15877,16236,30643150.3320095,30251448.0224726,31033628.845687,1955.28882310277,1943.06950889227,1967.50813731327,16057,15279,16834,30066884.719158,28379802.669521,31770834.5922349
2023,1887.5768624515,1886.09882407461,1889.05490082839,14643,14508,14777,27639787.9968773,27363521.7396744,27914564.2695411,2288.73839466952,2285.07325645416,2292.40353288489,2564,2430,2699,5868325.24393266,5552728.0131836,6187197.13525632,2088.15762856051,2085.58604026438,2090.72921685664,17207,16938,17476,33508113.2408099,32916249.752858,34101761.4047974,1982.09259751214,1963.76362619639,2000.4215688279,17207,16040,18374,32547259.0478911,29973768.9859058,35163806.7205292
2024,1935.16203336708,1933.19131553122,1937.13275120293,15609,15430,15789,30205944.1788267,29829141.9986468,30585389.0087431,2276.16475298278,2271.27790202896,2281.0516039366,2748,2568,2927,6254900.74119668,5832641.65241037,6676638.04472243,2105.66339317493,2102.23460878009,2109.09217756977,18357,17998,18716,36460844.9200234,35661783.6510571,37262027.0534655,2008.89637192151,1984.45774350051,2033.33500034252,18357,16801,19913,35051075.9009904,31562076.1366303,38616128.6769967
2025,1982.74720428266,1980.28380698784,1985.21060157748,16576,16352,16801,32866017.6581893,32381600.8118651,33353523.3171032,2263.59111129604,2257.48254760376,2269.69967498832,2931,2707,3156,6634585.54720868,6111005.25636338,7163172.17426312,2123.16915778935,2118.8831772958,2127.4551382829,19507,19059,19957,39500603.205398,38492606.0682285,40516695.4913663,2035.70014633089,2005.15186080463,2066.24843185714,19508,17562,21452,37579789.3735873,33144740.362511,42129852.6792683
2026,2030.33237519824,2027.37629844445,2033.28845195202,17543,17274,17812,35618120.8581027,35020898.1793295,36216933.9061694,2251.01746960929,2243.68719317856,2258.34774604003,3115,2846,3384,7011919.41783295,6385533.75178619,7642248.77259946,2140.67492240377,2135.53174581151,2145.81809899603,20658,20120,21196,42630040.2759356,41406431.9311157,43859182.6787689,2062.50392074026,2025.84597810875,2099.16186337176,20658,18326,22990,40129972.6769915,34727673.2278422,45703244.7705742
2027,2077.91754611382,2074.46878990107,2081.36630232657,18510,18196,18824,38462253.7785668,37747034.1010399,39179639.2749953,2238.44382792255,2229.89183875337,2246.99581709174,3298,2984,3612,7382387.74448858,6653997.24684004,8116148.89133537,2158.18068701819,2152.18031432722,2164.18105970915,21808,21180,22436,45844641.5230554,44401031.3478799,47295788.1663306,2089.30769514963,2046.54009541287,2132.07529488639,21809,19086,24530,42705152.7420131,36296827.4938544,49342001.6630467
2028,2125.5027170294,2121.56128135769,2129.44415270111,19477,19118,19836,41398416.4195816,40560008.5769963,42239654.2129792,2225.87018623581,2216.09648432817,2235.64388814345,3482,3123,3840,7750479.98847309,6920869.32055687,8584872.53047086,2175.6864516326,2168.82888284293,2182.54402042228,22959,22241,23676,49148896.4080547,47480877.8975531,50824526.7434501,2116.111469559,2067.23421271699,2164.98872640101,22959,19847,26069,45301440.4248513,37862503.5772902,53040136.376895
2029,2173.08788794498,2168.6537728143,2177.52200307565,20444,20040,20847,44426608.7811472,43459821.6071986,45394801.1981182,2213.29654454907,2202.30112990297,2224.29195919517,3665,3261,4069,8111731.83577233,7181703.98461359,9050643.98196514,2193.19221624702,2185.47745135864,2200.90698113541,24109,23301,24916,52538340.6169195,50641525.5918122,54445445.1800833,2142.91524396837,2087.92833002111,2197.90215791563,24109,20609,27609,47920608.4677773,39424301.3049223,56801824.0282632
2030,2220.67305886056,2215.74626427092,2225.5998534502,21411,20962,21859,47546830.8632634,46446473.191647,48649387.1965679,2200.72290286232,2188.50577547777,2212.94003024688,3849,3400,4297,8470582.45311709,7440919.63662443,9509003.30997084,2210.69798086144,2202.12601987435,2219.26994184854,25260,24362,26156,56017413.3163805,53887392.8282714,58158390.5065387,2169.71901837774,2108.62244732523,2230.81558943025,25259,21370,29148,50563550.4074388,40978670.996841,60623565.7798282
