year,oa_color_finale,montant_moyen
2013,gold,1394.57586741853
2013,hybridOA,2442.52420397409
2014,gold,1417.63534166581
2014,hybridOA,2429.8064534076
2015,gold,1598.29197975091
2015,hybridOA,2478.59064875881
2016,gold,1653.4935006693
2016,hybridOA,2426.29943610105
2017,gold,1669.32460779738
2017,hybridOA,2570.71468104635
2018,gold,1693.03354871237
2018,hybridOA,2495.13440127196
2019,gold,1714.11034919797
2019,hybridOA,2449.23605331692
2020,gold,1755.0457617379
2020,hybridOA,2488.2154769015
