year,oa_color_finale,montant_moyen
2013,gold,1421.04753346344
2013,hybridOA,2310.60019749526
2014,gold,1469.54160550511
2014,hybridOA,2330.60367147193
2015,gold,1670.63322267104
2015,hybridOA,2425.14462968726
2016,gold,1737.16883232718
2016,hybridOA,2378.12079359801
2017,gold,1757.79008856547
2017,hybridOA,2448.08713495827
2018,gold,1757.82571576418
2018,hybridOA,2441.88885535659
2019,gold,1747.46345126797
2019,hybridOA,2325.69730078858
2020,gold,1772.76469967604
2020,hybridOA,2314.7399062504
